time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-05-28 06:00:00+00:00,0.0001443878427380696,0.00014445849228650331,0.00014416268095374107,0.00014429495786316693,0.00014429495786316693,0,UNI-USD
2022-05-28 07:00:00+00:00,0.00014430594455916435,0.0001443659421056509,0.00014407836715690792,0.00014434744662139565,0.00014434744662139565,0,UNI-USD
2022-05-28 08:00:00+00:00,0.00014438082871492952,0.0001444416120648384,0.0001438920880900696,0.00014417755301110446,0.00014417755301110446,0,UNI-USD
2022-05-28 09:00:00+00:00,0.0001441086205886677,0.00014428692520596087,0.00014393597666639835,0.00014395774633157998,0.00014395774633157998,0,UNI-USD
2022-05-28 10:00:00+00:00,0.00014397034829016775,0.00014417848433367908,0.00014381959044840187,0.00014401727821677923,0.00014401727821677923,0,UNI-USD
2022-05-28 11:00:00+00:00,0.00014398926577996463,0.00014445015403907746,0.000143881217809394,0.0001441443746443838,0.0001441443746443838,0,UNI-USD
2022-05-28 12:00:00+00:00,0.0001441130880266428,0.00014486702275462449,0.00014399657084140927,0.00014486702275462449,0.00014486702275462449,0,UNI-USD
2022-05-28 13:00:00+00:00,0.00014484475832432508,0.00014567958714906126,0.00014473115152213722,0.00014527935127262026,0.00014527935127262026,1,UNI-USD
2022-05-28 14:00:00+00:00,0.0001452812721254304,0.0001453338481951505,0.000144705903949216,0.00014476306387223303,0.00014476306387223303,0,UNI-USD
2022-05-28 15:00:00+00:00,0.0001447634567739442,0.0001452522847102955,0.00014460596139542758,0.00014500171528197825,0.00014500171528197825,1,UNI-USD
2022-05-28 16:00:00+00:00,0.00014493214257527143,0.00014512288908008486,0.0001447109825676307,0.0001447109825676307,0.0001447109825676307,0,UNI-USD
2022-05-28 17:00:00+00:00,0.00014459587691817433,0.00014465407002717257,0.00014422729145735502,0.00014442320389207453,0.00014442320389207453,0,UNI-USD
2022-05-28 18:00:00+00:00,0.0001444314984837547,0.0001448846742277965,0.0001444314984837547,0.00014487978478427976,0.00014487978478427976,0,UNI-USD
2022-05-28 19:00:00+00:00,0.00014499164535664022,0.00014510878827422857,0.00014474887575488538,0.00014506066509056836,0.00014506066509056836,1,UNI-USD
2022-05-28 20:00:00+00:00,0.00014501501573249698,0.00014505645958706737,0.00014489582099486142,0.00014497192751150578,0.00014497192751150578,0,UNI-USD
2022-05-28 21:00:00+00:00,0.00014503287093248218,0.00014517274394165725,0.00014495356299448758,0.00014501585974358022,0.00014501585974358022,0,UNI-USD
2022-05-28 22:00:00+00:00,0.00014501468103844672,0.00014501468103844672,0.0001447886897949502,0.0001449931296519935,0.0001449931296519935,0,UNI-USD
2022-05-28 23:00:00+00:00,0.00014489359455183148,0.0001454224402550608,0.00014489359455183148,0.00014511084009427577,0.00014511084009427577,0,UNI-USD
2022-05-29 00:00:00+00:00,0.00014508538879454136,0.00014514643407892436,0.00014485788415186107,0.00014502121484838426,0.00014502121484838426,0,UNI-USD
2022-05-29 01:00:00+00:00,0.00014499181997962296,0.00014504374121315777,0.00014455140626523644,0.0001446060196030885,0.0001446060196030885,0,UNI-USD
2022-05-29 02:00:00+00:00,0.00014453129551839083,0.00014453129551839083,0.00014420553634408861,0.00014443171676248312,0.00014443171676248312,0,UNI-USD
2022-05-29 03:00:00+00:00,0.00014440552331507206,0.0001447863905923441,0.00014435221964959055,0.0001447863905923441,0.0001447863905923441,0,UNI-USD
2022-05-29 04:00:00+00:00,0.0001448044495191425,0.00014484218263532966,0.0001445763191441074,0.00014468164590653032,0.00014468164590653032,0,UNI-USD
2022-05-29 05:00:00+00:00,0.00014466482389252633,0.00014498700329568237,0.00014463461411651224,0.00014497899974230677,0.00014497899974230677,1,UNI-USD
2022-05-29 06:00:00+00:00,0.00014511220797430724,0.0001452015567338094,0.00014493709022644907,0.00014508282765746117,0.00014508282765746117,0,UNI-USD
2022-05-29 07:00:00+00:00,0.0001450882846256718,0.00014509899483527988,0.00014490462490357459,0.00014490462490357459,0.00014490462490357459,0,UNI-USD
2022-05-29 08:00:00+00:00,0.00014494855713564903,0.00014573763473890722,0.0001449090923415497,0.0001453085569664836,0.0001453085569664836,0,UNI-USD
